"","Event","t2","s1","s2","totSamp","na.rm","year","totCatch","length","t1","sTot","sCPM"
"347","2011T04038",37.085,0,0,79.713,TRUE,2011,339,0.53,259.287,0,0
"348","2012T04039",59.912,0,0,458.281091,TRUE,2012,865,0.472,406.718909,0,0
"349","2011T04040",45.596,0,0,47.542,TRUE,2011,118,0.51,70.458,0,0
"350","2011T04041",604.3,0,0,646,TRUE,2011,646,0.5,0,0,0
"351","2011T04042",41.573,0,0,97.541,TRUE,2011,250,0.53,152.459,0,0
"352","2012T04001",35.244,0,0,155.29,TRUE,2012,215,0.481,59.71,0,0
"353","2012T04003",45.223,0,0,197.599,TRUE,2012,220,0.518299,22.401,0,0
"354","2012T04004",57.596,0,0,138.849,TRUE,2012,320,0.4726,181.151,0,0
"355","2012T04005",42.908,0,0,147.513,TRUE,2012,213,0.5564,65.487,0,0
"356","2012T04006",49.656,0,0,403.882,TRUE,2012,585,0.5019,181.118,0,0
"357","2012T04007",43.714,0,0,143.674,TRUE,2012,254,0.532599,110.326,0,0
"358","2012T04008",46.947,0,0,100.221,TRUE,2012,396,0.515299,295.779,0,0
"359","2012T04009",44.46,0,0,99.552,TRUE,2012,585,0.4995,485.448,0,0
"360","2012T04010",43.991,0,0,532.371,TRUE,2012,736,0.5223,203.629,0,0
"361","2012T04011",31.196,0,0,236.135,TRUE,2012,461,0.4936,224.865,0,0
"362","2012T04012",25.934,0,0,324.223,TRUE,2012,486,0.3091,161.777,0,0
"363","2012T04013",69.8,0,0,255.203,TRUE,2012,586,0.5223,330.797,0,0
"364","2012T04014",47.016,0,0,205.353999,TRUE,2012,290,0.5105,84.646001,0,0
"365","2012T04015",39.897,0,0,205.187,TRUE,2012,304,0.539399,98.813,0,0
"366","2012T04016",43.636,0,0,106.18,TRUE,2012,246,0.5177,139.82,0,0
"367","2012T04017",39.979,0,0,163.174,TRUE,2012,273,0.535899,109.826,0,0
"368","2012T04018",45.741,0,0,168.471,TRUE,2012,275,0.561299,106.529,0,0
"369","2012T04019",55.814,0,0,334.798,TRUE,2012,760,0.5192,425.202,0,0
"370","2012T04020",37.729,0,0,253.439,TRUE,2012,481,0.511799,227.561,0,0
"371","2012T04021",33.932,0,0,56.694,TRUE,2012,172,0.4898,115.306,0,0
"372","2012T04023",58.575,0,0,192.622,TRUE,2012,389,0.5238,196.378,0,0
"373","2012T04024",44.569,0,0,155.805,TRUE,2012,186,0.5756,30.195,0,0
"374","2012T04025",42.242,0,0,159.993,TRUE,2012,196,0.526,36.007,0,0
"375","2012T04026",40.329,0,0,199.049,TRUE,2012,319,0.190799,119.951,0,0
"376","2012T04027",22.84,0,0,339.928972,TRUE,2012,388,0.505299,48.071028,0,0
"377","2012T04028",33.922,0,0,106.642,TRUE,2012,142,0.4665,35.358,0,0
"378","2012T04029",46.456,0,0,123.408,TRUE,2012,134,0.560699,10.592,0,0
"379","2012T04030",42.04,0,0,126.364,TRUE,2012,213,0.526899,86.636,0,0
"380","2012T04031",0,0,0,124.595,TRUE,2012,110,0.5101,0,0,0
"381","2012T04032",43.883,0,0,167.948,TRUE,2012,243,0.38,75.052,0,0
"382","2012T04033",45.796,0,0,106.202,TRUE,2012,166,0.462399,59.798,0,0
"383","2012T04034",0,0,0,135.745,TRUE,2012,137,0.5115,1.255,0,0
"384","2012T04035",45.938,0,0,195.682,TRUE,2012,371,0.4837,175.318,0,0
"385","2012T04036",32.945,0,0,232.265,TRUE,2012,269,0.309199,36.735,0,0
"386","2012T04037",43.521,0,0,215.661,TRUE,2012,298,0.543699,82.339,0,0
"387","2012T04038",35.6,0,0,258.394,TRUE,2012,549,0.495599,290.606,0,0
"388","2013T04001",49.68,0,0,166.689,TRUE,2013,217,0.54,50.311,0,0
"389","2013T04002",63.047,0.235,0,112.844,TRUE,2013,297,0.51,184.156,0.235,0.46078431372549
"390","2013T04003",54.878,0,0,328.042,TRUE,2013,554,0.57,225.958,0,0
"391","2013T04004",38.657,0,0,107.331,TRUE,2013,330,0.53,222.669,0,0
"392","2013T04005",40.31,0,0,221.671992,TRUE,2013,350,0.54,128.328008,0,0
"393","2013T04007",78.137,0,0,528.804,TRUE,2013,1024,0.51,495.196,0,0
"394","2013T04009",0,0,0,182.294,TRUE,2013,179,0.52,0,0,0
"395","2013T04010",40.859,0,0,151.086,TRUE,2013,231,0.43,79.914,0,0
"396","2013T04011",49.875,0,0,358.001,TRUE,2013,449,0.51,90.999,0,0
"397","2013T04012",0,0,0,122.111,TRUE,2013,120,0.33,0,0,0
"398","2013T04013",46.464,0,0,207.804999,TRUE,2013,326,0.48,118.195001,0,0
"399","2013T04014",35.151,0,0,183.43168,TRUE,2013,264,0.54,80.56832,0,0
"400","2013T04015",40.159,0,0,267.558,TRUE,2013,405,0.52,137.442,0,0
"401","2013T04016",45.031,0,0,488.250999,TRUE,2013,607,0.54,118.749001,0,0
"402","2013T04017",36.729,0,0,150.99,TRUE,2013,376,0.52,225.01,0,0
"403","2013T04018",26.305,0,0,204.48392,TRUE,2013,277,0.45,72.51608,0,0
